sid,class,acc,top1_eeg,top2_eeg,top3_eeg,top4_eeg,top5_eeg,c3_shap,c4_shap,EMG1_shap,EMG2_shap,EMG3_shap,EMG4_shap
36,Right_MI,0.65,Oz,FC2,AF4,O1,C3,0.000822,0.000325,1e-06,1e-06,1e-06,0.0
37,Left_MI,0.65,FC2,Oz,C5,AF4,C3,0.000581,0.000337,0.00042,0.000414,0.000431,0.000185
37,Right_MI,0.65,FC2,Oz,C5,AF4,C3,0.00049,0.000278,0.000364,0.000396,0.000392,0.00016
38,Left_MI,0.72,Oz,FC2,AF4,C5,C3,0.00027,0.000118,0.000318,0.000169,0.000245,9.6e-05
38,Right_MI,0.72,Oz,FC2,AF4,C5,O2,0.00019,8.7e-05,0.000191,0.000103,0.000153,5.9e-05
39,Left_MI,0.69,Oz,FC2,AF4,FCz,AF7,0.000606,0.000476,0.000573,0.000688,0.000931,0.001019
39,Right_MI,0.69,Oz,FC2,AF4,FCz,AF7,0.000569,0.000449,0.000502,0.000612,0.000792,0.000826
40,Left_MI,0.54,Oz,AF8,AF4,O1,FT10,8.9e-05,5.5e-05,0.0,0.0,0.0,0.0
40,Right_MI,0.54,Oz,AF8,AF4,O1,F1,8.8e-05,6.2e-05,1e-06,3e-06,2e-06,1e-06
41,Left_MI,0.93,Oz,FC2,AF4,FCz,C3,0.000373,0.000151,0.000361,0.000177,0.000304,0.000105
41,Right_MI,0.93,Oz,FC2,AF4,FCz,F2,0.000789,0.000321,0.00067,0.000337,0.000559,0.000199
42,Left_MI,0.78,Oz,FC2,AF4,C5,FC1,0.000435,0.000202,0.000198,8.7e-05,8.6e-05,5.5e-05
42,Right_MI,0.78,Oz,FC2,C5,AF4,FC1,0.000225,0.000104,7.4e-05,3.2e-05,3.4e-05,2.1e-05
43,Left_MI,0.98,Oz,FC2,AF4,C3,C5,0.000635,0.000319,0.000946,0.000764,0.000237,0.000146
43,Right_MI,0.98,Oz,FC2,AF4,C3,C5,0.000586,0.00029,0.000776,0.000607,0.000194,0.000121
44,Left_MI,0.77,FC2,Oz,FC1,CP2,AF8,0.000532,0.000351,0.000673,0.000596,0.000359,0.000256
44,Right_MI,0.77,FC2,Oz,FC1,CP2,AF8,0.000747,0.000482,0.001131,0.000977,0.000588,0.000422
45,Left_MI,0.65,Oz,AF4,FC2,C5,F2,0.000372,0.000216,5e-06,4e-06,3e-06,2e-06
45,Right_MI,0.65,Oz,AF4,FC2,C5,F2,0.000349,0.000203,3e-06,2e-06,3e-06,2e-06
46,Left_MI,0.75,P6,Oz,FCz,FC2,AF4,0.001087,0.000982,0.000178,0.000114,0.000114,5.3e-05
46,Right_MI,0.75,P6,Oz,FCz,FC2,AF4,0.00067,0.000572,0.000103,6.2e-05,6.7e-05,3.3e-05
47,Left_MI,0.68,Oz,FC2,AF7,FCz,AF4,0.000699,0.000456,0.002522,0.001276,0.001964,0.000924
47,Right_MI,0.68,Oz,FC2,FCz,AF7,FC1,0.001042,0.000637,0.003206,0.001606,0.002579,0.001236
48,Left_MI,0.96,Oz,C5,AF4,FC2,C3,0.000668,0.000318,0.000556,0.000445,0.000363,0.000114
48,Right_MI,0.96,Oz,AF4,C5,FC2,C3,0.000328,0.000158,0.000159,0.000129,9.7e-05,3.1e-05
49,Left_MI,0.65,Oz,AF4,C5,O2,FC2,0.000102,7.9e-05,0.000403,0.000468,0.000216,0.000451
49,Right_MI,0.65,Oz,AF4,O2,C5,Pz,0.000164,0.00013,0.000421,0.000559,0.000225,0.000522
50,Left_MI,0.84,Oz,P6,FC2,FCz,C3,0.000691,0.000372,0.000952,0.000923,0.000568,0.000183
50,Right_MI,0.84,Oz,P6,FC2,FCz,C3,0.000989,0.000538,0.001291,0.001244,0.000733,0.000236
51,Left_MI,0.66,Oz,AF4,FC2,C5,C3,0.000487,0.000303,1.9e-05,2.2e-05,2.2e-05,1e-05
51,Right_MI,0.66,Oz,AF4,FC2,C5,C3,0.000402,0.000257,1.7e-05,2.1e-05,2e-05,9e-06
52,Left_MI,0.6,Oz,FC2,AF4,O1,C5,0.000705,0.00043,0.000398,0.000295,0.0005,0.000224
52,Right_MI,0.6,Oz,FC2,AF4,O1,PO8,0.0006,0.000377,0.000286,0.000219,0.000384,0.000162
